condition,target_party,retrieved_party,proportion
bge/simple_hybrid,Left,Greens,0.1374
bge/simple_hybrid,Left,Left,0.3147
bge/simple_hybrid,Left,Other,0.016
bge/twostage,SPD,SPD,0.2983
bge/twostage,SPD,CDU/CSU,0.3633
bge/twostage,SPD,AfD,0.063
bge/twostage,SPD,FDP,0.0761
bge/twostage,SPD,Greens,0.1316
bge/twostage,SPD,Left,0.066
bge/twostage,SPD,Other,0.0017
bge/twostage,CDU/CSU,SPD,0.2183
bge/twostage,CDU/CSU,CDU/CSU,0.3521
bge/twostage,CDU/CSU,AfD,0.0901
bge/twostage,CDU/CSU,FDP,0.1155
bge/twostage,CDU/CSU,Greens,0.1606
bge/twostage,CDU/CSU,Left,0.0437
bge/twostage,CDU/CSU,Other,0.0197
bge/twostage,AfD,SPD,0.1605
bge/twostage,AfD,CDU/CSU,0.1643
bge/twostage,AfD,AfD,0.3674
bge/twostage,AfD,FDP,0.0903
bge/twostage,AfD,Greens,0.0884
bge/twostage,AfD,Left,0.1078
bge/twostage,AfD,Other,0.0213
bge/twostage,FDP,SPD,0.2446
bge/twostage,FDP,CDU/CSU,0.279
bge/twostage,FDP,AfD,0.1121
bge/twostage,FDP,FDP,0.1834
bge/twostage,FDP,Greens,0.1083
bge/twostage,FDP,Left,0.0624
bge/twostage,FDP,Other,0.0102
bge/twostage,Greens,SPD,0.252
bge/twostage,Greens,CDU/CSU,0.2314
bge/twostage,Greens,AfD,0.066
bge/twostage,Greens,FDP,0.1143
bge/twostage,Greens,Greens,0.2131
bge/twostage,Greens,Left,0.1105
bge/twostage,Greens,Other,0.0126
bge/twostage,Left,SPD,0.1841
bge/twostage,Left,CDU/CSU,0.1377
bge/twostage,Left,AfD,0.1316
bge/twostage,Left,FDP,0.0733
bge/twostage,Left,Greens,0.1462
bge/twostage,Left,Left,0.3132
bge/twostage,Left,Other,0.0138
bge/twostage_hybrid,SPD,SPD,0.2868
bge/twostage_hybrid,SPD,CDU/CSU,0.3395
bge/twostage_hybrid,SPD,AfD,0.0975
bge/twostage_hybrid,SPD,FDP,0.0725
bge/twostage_hybrid,SPD,Greens,0.1344
bge/twostage_hybrid,SPD,Left,0.0647
bge/twostage_hybrid,SPD,Other,0.0046
bge/twostage_hybrid,CDU/CSU,SPD,0.2608
bge/twostage_hybrid,CDU/CSU,CDU/CSU,0.3314
bge/twostage_hybrid,CDU/CSU,AfD,0.1118
bge/twostage_hybrid,CDU/CSU,FDP,0.1157
bge/twostage_hybrid,CDU/CSU,Greens,0.1137
bge/twostage_hybrid,CDU/CSU,Left,0.0549
bge/twostage_hybrid,CDU/CSU,Other,0.0118
