Target,Model,Condition,ΔMAE (RAG-Base),ΔRMSE (RAG-Base),ΔPearson_r (RAG-Base),ΔSpearman_rho (RAG-Base)
label_ideology,Qwen2.5-3B-Instruct,qwen3/simple,0.091,0.0396,0.0437,0.0458
label_ideology,Qwen2.5-3B-Instruct,qwen3/twostage,0.0666,0.0148,0.1004,0.1141
label_ideology,Qwen2.5-7B-Instruct,bge/hyde,-0.0108,0.1398,0.0348,0.0374
label_ideology,Qwen2.5-7B-Instruct,bge/hyde_hybrid,0.0591,0.2303,-0.0245,-0.0157
label_ideology,Qwen2.5-7B-Instruct,bge/simple,0.0467,0.2258,-0.0003,-0.0245
label_ideology,Qwen2.5-7B-Instruct,bge/simple_hybrid,0.0671,0.2535,-0.0042,-0.0211
label_ideology,Qwen2.5-7B-Instruct,bge/twostage,0.0951,0.26,-0.042,-0.0741
label_ideology,Qwen2.5-7B-Instruct,bge/twostage_hybrid,0.0985,0.2869,-0.0355,-0.0511
label_ideology,Qwen2.5-7B-Instruct,e5/hyde,0.0735,0.2261,0.0181,-0.0067
label_ideology,Qwen2.5-7B-Instruct,e5/simple,0.0571,0.2097,0.0472,0.0394
label_ideology,Qwen2.5-7B-Instruct,e5/twostage,0.0482,0.221,0.0186,-0.0107
label_ideology,Qwen2.5-7B-Instruct,jina/hyde,0.0277,0.2235,0.0195,0.0006
label_ideology,Qwen2.5-7B-Instruct,jina/simple,0.0355,0.2189,0.0344,0.0049
label_ideology,Qwen2.5-7B-Instruct,jina/twostage,0.072,0.2687,-0.025,-0.0419
label_ideology,Qwen2.5-7B-Instruct,qwen3/hyde,0.0264,0.1819,0.0212,0.005
label_ideology,Qwen2.5-7B-Instruct,qwen3/simple,0.0277,0.2088,0.011,0.0074
label_ideology,Qwen2.5-7B-Instruct,qwen3/twostage,0.0975,0.2882,-0.0306,-0.045
